Business,Description of Item Donated,Method of Receipt,Status,Special Instructions,✔ Cert,Inputted,Title,Display Section (Category),Donor Name,Donor Website,For Fulfillment Name,Donor Email,Location - Packaging?,Descriptor Added to Title,Short Description (~ 10 words),Long Description,Estimated Value,Start Bid 33%,Starting Bid,Location,Image URLs
Wellington Cellars,Wellington Cellars VIP Seated Tasting Experience for Four (4) Guests ($160),Mail,Received,,Y,,Wellington Cellars - Wellington Cellars VIP Seated Tasting Experience for Four (4) Guests ($160) (E),Wineries,Wellington Cellars,https://wellingtoncellars.com/,,,,Wellington Cellars VIP Seated Tasting Experience for Four (4) Guests ($160),Wellington Cellars VIP Seated Tasting Experience for Four (4) Guests ($160),"Good for a VIP seated tasting for four guests of our family wines.

Treat yourself to a seated tasting of Wellington Cellars' family wines in the picturesque Olive Grove located in Sonoma Valley. You will be expertly guided by one of our knowledgeable wine educators. Afterward, your table will remain reserved for you, so you can continue to unwind and savor wine by the glass or bottle.

Valid Sunday-Friday, certificates cannot be combined.",160,52.8,50,Kenwood (Sonoma County),
Wellington Cellars,Wellington Cellars VIP Seated Tasting Experience for Four (4) Guests ($160),Mail,Received,,Y,,Wellington Cellars - Wellington Cellars VIP Seated Tasting Experience for Four (4) Guests ($160) (E),Wineries,Wellington Cellars,https://wellingtoncellars.com/,,,,Wellington Cellars VIP Seated Tasting Experience for Four (4) Guests ($160),Wellington Cellars VIP Seated Tasting Experience for Four (4) Guests ($160),"Good for a VIP seated tasting for four guests of our family wines.

Treat yourself to a seated tasting of Wellington Cellars' family wines in the picturesque Olive Grove located in Sonoma Valley. You will be expertly guided by one of our knowledgeable wine educators. Afterward, your table will remain reserved for you, so you can continue to unwind and savor wine by the glass or bottle.

Valid Sunday-Friday, certificates cannot be combined.",160,52.8,50,Kenwood (Sonoma County),
Barry's (FIDI),5 Pack Classes ($150),Pickup,Received,with Michelle Domingo,Y,,Barry's (FIDI) - 5 Pack Classes ($150),Health & Wellness,Barry's (FIDI),https://www.barrys.com/,,,,5 Pack Classes ($150),5 Pack Classes ($150),"5 Pack of Classes at Barry's, worth $150+!

The original high intensity interval workout. Barry's tones muscle and maximizes fat loss with a combination of running and weights.

Many locations, no expiration!",150,49.5,50,Many locations,
Barry's (FIDI),5 Pack Classes ($150),Pickup,Received,with Michelle Domingo,Y,,Barry's (FIDI) - 5 Pack Classes ($150),Health & Wellness,Barry's (FIDI),https://www.barrys.com/,,,,5 Pack Classes ($150),5 Pack Classes ($150),"5 Pack of Classes at Barry's, worth $150+!

The original high intensity interval workout. Barry's tones muscle and maximizes fat loss with a combination of running and weights.

Many locations, no expiration!",150,49.5,50,Many locations,
Millbrae Pancake House,$50 Gift Card,Pickup,Received,with Ted,Y,,Millbrae Pancake House - $50 Gift Card,Food & Drink,Millbrae Pancake House,https://www.millbraepancake.com/,,,,$50 Gift Card,$50 Gift Card,"$50 Gift Card for Millbrae Pancake House

The Millbrae Pancake House has been owned and operated by the same family since we opened our doors on Mother's Day way back in 1959. We have watched the world around us change dramatically over the last 65 years, but at the Millbrae Pancake House, our time honored traditions haven't changed at all.

We still make our famous pancakes and waffles from scratch, we still use the finest quality ingredients in all our food and making our customers feel at home is still our number one priority. Come join us for some delicious food!

millbraepancake.com

Located in Millbrae

No expiration",50,16.5,20,Millbrae,
Ike's Sandwiches,Four (4) Sandwich Vouchers ($68),Mail,Received,with EC,Y,,Ike's Sandwiches - Four (4) Sandwich Vouchers ($68),Food & Drink,Ike's Sandwiches,https://www.ikessandwich.com/,,ikesfundraising@loveandsandwiches.com,,Four (4) Sandwich Vouchers ($68),Four (4) Sandwich Vouchers ($68),"4 sandwich vouchers, each voucher valid for one free sandwich (up to $17, which covers the majority of our menu). Effective through December 31, 2026. Multiple locations in the Bay Area.",68,22.44,25,SF Bay Area,
Bay Area Discovery Museum,One (1) Family Pass to Bay Area Discovery Museum ($100),Email,Received,,Y,,Bay Area Discovery Museum - One (1) Family Pass to Bay Area Discovery Museum ($100) (E),Kid Camps & Activities,Bay Area Discovery Museum,https://bayareadiscoverymuseum.org/,,,,One (1) Family Pass to Bay Area Discovery Museum ($100),One (1) Family Pass to Bay Area Discovery Museum ($100),"Family Visit Pass for Five (5) (children or adults) to the Bay Area Discovery Museum (Sausalito).

The Bay Area Discovery Museum (BADM) is a space for imaginations to run wild! Located at the foot of the Golden Gate Bridge on 7.5 acres of National Park land in Sausalito, BADM features outdoor and indoor exhibition spaces and daily programs for children 6 months of age to 10 years. 

Expires 3/20/2027
",100,33,35,Sausalito,
Roxie Theater,Two (2) Tickets to any Roxie Theater screening ($28),Pickup,Received,,Y,,Roxie Theater - Two (2) Tickets to any Roxie Theater screening ($28),Entertainment/Activities,Roxie Theater,https://roxie.com/,,,,Two (2) Tickets to any Roxie Theater screening ($28),Two (2) Tickets to any Roxie Theater screening ($28),"Two tickets to any Roxie theater screening. Not valid for some special events, including film festivals and double features.

†rThe Roxie Theater, also known as the Roxie Cinema or just The Roxie, is a historic movie theater, founded in 1912, at 3117 16th Street in the Mission District of San Francisco. It is a non-profit community arthouse cinema.",28,9.24,10,"Mission, San Francisco",
Byington Vineyard & Winery,One (1) Winery Tour & Tasting for 10 ($350),Email,Received,,Y,,Byington Vineyard & Winery - One (1) Winery Tour & Tasting for 10 ($350) (E),Wineries,Byington Vineyard & Winery,https://byington.com/,,,,One (1) Winery Tour & Tasting for 10 ($350),One (1) Winery Tour & Tasting for 10 ($350),"Enjoy a tasting of 5 Byington wines during your tour of Byington Vineyard &
Winery. Your tour guide will escort you into our Estate Vineyard where, with a glass in hand,
you and your guests will learn about Byington and the Santa Cruz Mountains. You also will tour
our production facility and unique wine cave. During the tour, your guide will present you with a
selection of current releases. Tasting and tour time is approximately 45 minutes.

About Byington: Located 20 minutes from downtown Los Gatos, Byington Vineyard & Winery
is the gem of the Santa Cruz Mountains, sitting on 95 mountainous acres surrounded by redwood
forests with a view of the Monterey Bay. Byington produces award-winning Pinot Noir, Cabernet
Sauvignon, and Chardonnay wines and other exciting varietals that highlight the diversity of
Northern California. The winery is an 18,000 square foot Italian style villa, housing our
winemaking facilities, spectacular cave, and elegant event facilities.

Tour & Tasting Reservations: Tours take place on Saturdays at 12:00 pm, 1:30 pm, and 3:00
pm. Please arrive at least 10 minutes early. You must reserve your tour in advance. To reserve
your tour please call us at (408) 354-1111.

Expiration and Cancellation Policy: This gift certificate is valid for one year after the charity
auction date of 3/20/26. Due to the popularity of this experience, cancellations within 48 hours are non-refundable.",350,115.5,125,Los Gatos,
Celia's by the Beach,$80 Gift Certificate for Dinner & Tequila Tasting,Pickup,Needs Pickup,Please come in Tuesday - Sat anytime after 5 pm and ask for Phil.,Y,,Celia's by the Beach - $80 Gift Certificate for Dinner & Tequila Tasting,Food & Drink,Celia's by the Beach,https://www.celiasbythebeach.com/,,,,$80 Gift Certificate for Dinner & Tequila Tasting,$80 Gift Certificate for Dinner & Tequila Tasting,"Gift Certificate for dinner & tequila tasting for Celia’s by the Beach


Celia’s #1 on Judah was the first restaurant of our family’s legacy. Celia’s is one of the oldest Mexican restaurants and cantinas in San Francisco and has paved the way for countless others. 

Our recipes are true and authentic to our original family recipes. Our recipes have been passed down from generation to generation, since 1960. We use traditional techniques, spices and seasoning when preparing our rice, beans, meats and salsas. We pride ourselves on using fresh ingredients daily in the preparation of our food and sauces.

- Only valid at the original Celia's Mexican Restaurant at 4019 Judah Street
- Good for dine in and take out.
",80,26.4,28,"Sunset, San Francisco",
Shake Shack,$50 Gift Card,Email,Received,,Y,,Shake Shack - $50 Gift Card (E),Food & Drink,Shake Shack,https://shakeshack.com,,,,$50 Gift Card,$50 Gift Card,"$50 Gift Certificate to Shake Shack

Shake Shack is an American fast casual restaurant chain that started as a hot dog cart in New York City's Madison Square Park and has expanded to serving burgers, fries, chicken sandwiches, along with their hot dogs paired with delicious shakes and frozen custard.

Located at Stonestown Galleria, Cow Hollow, and San Francisco Centre, and many other locations

Expires 3/20/2027
",50,16.5,20,Many Locations,
Sports Basement,$50 Gift Card,Pickup,Received,With Genevieve,Y,,Sports Basement - $50 Gift Card,"Home, Pets & Retail",Sports Basement,https://shop.sportsbasement.com/,,,,$50 Gift Card,$50 Gift Card,"$50 Giftcards to Sports Basement

Best prices on the best outdoor gear, apparel and rentals in the San Francisco Bay Area and Southern California. 

With departments devoted to climbing, snow sports, shoes, and cycling, Sports Basement is a place where those who love outdoor fun will find everything from wetsuits to camping essentials.

Open daily, Sports Basement also offers workshops and community activities, including yoga classes and bicycle maintenance clinics. Not ready to buy? There are plenty of great rental options, too, including “basically free bike rentals.” Oh, and they now also offer fresh “grab and go” food options!

Many locations & online at sportsbasement.com
",50,16.5,20,Many Locations,
Total Wine & More,Private Wine Class for 20 ($600),Email,Received,,Y,,Total Wine & More - Private Wine Class for 20 ($600) (E),Wineries,Total Wine & More,https://www.totalwine.com/,,donations@totalwine.com,,Private Wine Class for 20 ($600),Private Wine Class for 20 ($600),"Private Wine Class/Tasting for for up to 20 people

Total Wine & More will host an event that is certain to impress you and your guests. Enjoy a tour of the land and learn about the famed appellations and grape varietals that make each region so unforgettable. Taste a variety of our premium, hand-selected wines and discover hidden treasures from the wine region of your choosing. One of our wine experts will present and discuss each delicious wine during your two hour class, which can be arranged as a seated class-style or more casual walk-around event. Total Wine & More will provide all necessary stemware and educational handouts for tasting notes. 

www.totalwine.com

Expires 10/29/2026
",600,198,195,Many Locations,
Blue Bear Music,10 Sessions of Little Bears Classes ($290),Email,Received,,Y,,Blue Bear Music - 10 Sessions of Little Bears Classes ($290) (E),Kid Camps & Activities,Blue Bear Music,https://bluebearmusic.org/,,lb@bluebearmusic.org,,10 Sessions of Little Bears Classes ($290),10 Sessions of Little Bears Classes ($290),"Blue Bear Music is San Francisco's Home for Music Lessons and Classes. All ages, all skill levels. From rock, jazz, blues, folk and pop to DJ and electronic music.

Located near Fort Mason area in SF
2 Marina Blvd Bldg D, San Francisco, CA 94123

Good for 10 sessions of Little Bears Classes (for children 4 months - 3 years). First class must be scheduled by 9/20/26.",290,95.7,95,"Marina, San Francisco",
Dogpatch Paddle,$198 Gift Certificate for Lessons or Rentals,Email,Received,Send winner's name and email to issue gift cards.,Y,,Dogpatch Paddle - $198 Gift Certificate for Lessons or Rentals (E),Entertainment/Activities,Dogpatch Paddle,,,,,$198 Gift Certificate for Lessons or Rentals,$198 Gift Certificate for Lessons or Rentals,"Paddle Boarding and Kayak Shop & Club, offering sales, rentals, lessons, tours, classes, and youth programs / camps in Crane Cove Park. Your gift certificate can go towards kayak & paddle board rentals or paddle board lessons!",198,65.34,65,"Crane Cove Park, SF",
BLICK Art Materials,$100 Gift Coupon,Mail,Pending,To be mailed in Feb,Y,,BLICK Art Materials - $100 Gift Coupon,"Home, Pets & Retail",BLICK Art Materials,https://www.dickblick.com/,,donations@dickblick.com,,$100 Gift Coupon,$100 Gift Coupon,"$100 Gift Certificate to be used on dickblick.com or in-store.
Blick offers the best selection of art supplies online. Shop paint, drawing supplies, crafts, framing, and more. Find all your art supply needs in one place!

Closest in-store locations:

SOMA
979 Market St

Van Ness
1930 Van Ness Ave
",100,33,30,"Online, 2 Locations in SF",
Sandbox VR,$125 Gift Certificate,Email,Received,,Y,,Sandbox VR - $125 Gift Certificate (E),Entertainment/Activities,Sandbox VR,https://sandboxvr.com/,,hellosandbox@sandboxvr.com,,$125 Gift Certificate,$125 Gift Certificate,"Experience the world’s most advanced virtual reality in San Francisco, California. Sandbox VR in Downtown SF is located off Market Street at Yerba Buena Lane.

Our socially immersive gaming experience combines full-body motion capture and high-quality haptics to provide unprecedented realism and complete immersion that’s not possible with home VR systems or other location-based VR venues. 

Groups of up to six friends transport into their own action movie, freely roaming the VR space as they enter exclusive virtual worlds and rely on each other to succeed in games specifically designed to be social experiences. Unique, active and social, Sandbox VR Is a perfect place for friends and family to get together, from friendly outings to birthday parties and group events. 

This certificate is valid for $125 at the SF Downtown location, no expiration date.",125,41.25,40,San Francisco,
Charles M. Schulz Museum,Six (6) Admission Tickets ($90),Mail,Received,,Y,,Charles M. Schulz Museum - Six (6) Admission Tickets ($90),Entertainment/Activities,Charles M. Schulz Museum and Research Center,https://schulzmuseum.org/,,,,Six (6) Admission Tickets ($90),Six (6) Admission Tickets ($90),"Six (6) admission tickets for the Charles M. Schulz Museum

Experience the joy of Peanuts! Explore the largest collection of original Peanuts comic strips and step into the world of Charles M. Schulz.

Located 55 miles north of San Francisco in Sonoma County at 2301 Hardies Lane, Santa Rosa (across the street from Snoopy's ice rink).

No expiration.",90,29.7,30,Napa: Santa Rosa,
Clif Family Winery,Enoteca Farm to Brunch Experience for 6 ($750),Email,Received,,Y,,Clif Family Winery - Enoteca Farm to Brunch Experience for 6 ($750) (E),Wineries,Clif Family Winery,https://www.cliffamily.com/,,,,Enoteca Farm to Brunch Experience for 6 ($750),Enoteca Farm to Brunch Experience for 6 ($750),"The Clif Family Enoteca Private Tasting Salon offers the pinnacle of Clif Family wine and food tasting experiences in a beautiful tasting salon overlooking Napa Valley’s iconic Mayacamas Mountain Range, just outside of downtown St. Helena.

This certificate entitles the holder to a
Farm to Brunch For 6 GUESTS
Value: $750

Begin your Napa Valley adventure with Clif Family’s private Farm to
Brunch Tasting Experience—a relaxed and delicious way to ease into
your day. Our culinary team, led by Executive Chef Magnus Young, will
treat you to a lineup of seasonal dishes crafted with ingredients
harvested straight from our organic farm. Each course is thoughtfully
paired with wines from our organically farmed estate vineyards, hand-
selected by Winemaker Laura Barrett to complement every flavor on
your plate. It’s brunch, the Clif Family way—elevated, a little indulgent,
and absolutely unforgettable.
We try to accommodate all dietary restrictions. Please alert us to any dietary restrictions when making your reservation. 

Expires March 20, 2027. Blackout dates apply.",750,247.5,245,"St Helena, Napa",
Clif Family Winery,Red Wine (Zinfandel) & Goodies Basket ($83),Mail,Received,,N,,Clif Family Winery - Red Wine (Zinfandel) & Goodies Basket ($83),Food & Drink,Clif Family Winery,https://www.cliffamily.com/,,,,Red Wine (Zinfandel) & Goodies Basket ($83),Red Wine (Zinfandel) & Goodies Basket ($83),"Donated gracious by Clif Family Winery & Farm, located in St Helena.. Organically farmed wine & small batch food from the co-creators of Clif Bar. Napa Valley B Corp Certified.

Your bundle includes:
2023 Gary Improv Zinfandel
Red Wine Somm Seasoning
Smoked Pimenton Almonds
Red Wine Jelly",83,27.39,27,Napa Valley,
Oriental Trading Company,$35 Merchandise Certificate,Email,Received,,Y,,Oriental Trading Company - $35 Merchandise Certificate (E),"Home, Pets & Retail",Oriental Trading Company,https://www.orientaltrading.com/,,,,$35 Merchandise Certificate,$35 Merchandise Certificate,"Oriental Trading Company is the pne-stop-fun-shop for everything from party supplies & holidays to crafts & toys. They also carry a variety of home decor, and education products!

EXPIRES: 10/27/2026 - 11:59 PM CT ",35,11.55,10,Online,
Erik's DeliCafe,$25 Gift Card,Mail,Received,,Y,,Erik's DeliCafe - $25 Gift Card,Food & Drink,Erik's DeliCafe,https://www.eriksdelicafe.com/,,,,$25 Gift Card,$25 Gift Card,"Serving fast, fresh, healthy and delicious sandwiches, soups and salads from Erik’s secret family recipes for over 50 years. Many Bay Area locations (East Bay, Santa Clara, San Jose, Santa Cruz), none in SF",25,8.25,8,"Many Bay Area locations (East Bay, Santa Clara, San Jose, Santa Cruz), none in SF",
Balletto Vineyards,Certificate for One Bottle of Chardonnay and Tasting for Four,Mail,Received,,Y,,Balletto Vineyards - Certificate for One Bottle of Chardonnay and Tasting for Four,Wineries,Balletto Vineyards,https://www.ballettovineyards.com/,,,,Certificate for One Bottle of Chardonnay and Tasting for Four,Certificate for One Bottle of Chardonnay and Tasting for Four,"One (1) bottle Russian River Valley Chardonnay and tasting for four (4)

Nestled in the heart of the Russian River Valley of Sonoma County, Balletto Vineyards is a family-owned estate winery renowned for crafting premium wines exclusively from grapes 100% grown in their vineyards, ensuring meticulous quality control and distinctive expressions of the Russian River Valley terroir. Committed to certified sustainable practices, Balletto Vineyards offers a portfolio of award-winning wines celebrated for their elegance and complexity. Our tasting room features several unique seated tastings flights, a tram tour, self-guided vineyard walks and two different library experiences. Dog and family-friendly with complimentary solar-powered car charging stations. 

Reservations recommended

https://www.ballettovineyards.com/

Located in Santa Rosa

Expires 3/20/2027

",112,36.96,35,Santa Rosa,
Avid4 Adventure,$100 Gift Certificate,Email,Received,,Y,,Avid4 Adventure - $100 Gift Certificate (E),Kid Camps & Activities,Avid4 Adventure,https://avid4.com/california-summer-camps,,info@avid4.com,,$100 Gift Certificate,$100 Gift Certificate,"$100 Certificate Toward any Avid4 Summer 2025 Adventure Day or Overnight Camps.

Details:
● Good toward any Summer 2025 Avid4 Adventure Day Camp session in California* OR Avid4 Adventure Overnight Camp in California or Colorado.* (based on availability)
● Excludes extended care and any camp add-ons.
● Day and Overnight Camp sessions are either one or two-weeks long and run from June - August.
● Campers experience local area recreation spots while building confidence in different adventure sports daily including biking, hiking, rock climbing, stand up paddleboarding, and kayaking.",100,33,30,"Oakland, Burlingame, Menlo Park",
City Cruises,San Francisco Premier Brunch Cruise for Two ($290),Email,Received,,Y,,City Cruises - San Francisco Premier Brunch Cruise for Two ($290) (E),Entertainment/Activities,City Cruises,https://www.cityexperiences.com/san-francisco/city-cruises/?pageNo=1&query=&sortBy=prodv3_ce_experiences_weightScaled_desc&specialCouponCategories=&city=San%20Francisco&country=&categoryTheme=Brunch%20Cruises&webCategoriesMain=&durationTiming=&brandTag=&dateMin=&dateMax=&hierarchical.lvl0=&showPriceWithFees=false,,,,San Francisco Premier Brunch Cruise for Two ($290),San Francisco Premier Brunch Cruise for Two ($290),"Treat yourself to a good-morning getaway featuring free-flowing bubbly. This San Francisco brunch buffet includes choices of classic breakfast dishes and lunch entrées. With live music and views of San Francisco Bay’s renowned sights like the Golden Gate Bridge and Alcatraz Island, it's the perfect way to unwind after a hectic week.

Once you have selected a day you would like to sail, you can make your reservation online using your unique voucher number to confirm your cruise.

This pass includes the cruise and meal service. Cruise gratuity and beverage service are additional.

Please note that due to the high volume of reservations, we ask that you book your cruise two weeks
out. Not valid on holidays or special event cruises. Due to the popularity of our cruises, we are unable to extend expiration dates or replace lost or stolen passes. Once your booking is confirmed, a 48-hour cancellation notice must be given if you are unable to honor your reservation. Please be sure to book your reservation early.

Expires 10/29/2026",290,95.7,95,"Pier 3, Hornblower Landing
San Francisco, CA",
Castello Di Amorosa,Seated Wine Tasting for Two ($120),Mail,Received,,Y,,Castello Di Amorosa - Seated Wine Tasting for Two ($120),Wineries,Castello Di Amorosa,https://castellodiamorosa.com/,,,,Seated Wine Tasting for Two ($120),Seated Wine Tasting for Two ($120),"Seated Wine Tasting for Two ($120)

Castello di Amorosa is an authentically styled 13th century Tuscan castle and winery located in heart of Napa Valley. A self-guided tour of the Castello offers guests the opportunity to explore the extensive grounds of the 136,000 square foot structure and sweeping vineyard vistas from atop the truncated touwer. The self-guided tour concluces with a reserve wne tasting, where guests can sample from a wide array of award-winning wines offered at the Castello, all crafted in the Italian style and available only at the winery. Please call ahead of time for availability and reservations.

Expires 3/20/2027
",120,39.6,40,Napa Valley,
